Order ID,Product ID,Order Date,Ship Date,Delivery_days,Order_Month,Order_Year,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Revenue,Quantity,Discount,Profit,Profit_margin,,,,,,,,,,
CA-2013-152156,FUR-BO-10001798,09-11-2013,12-11-2013,3,11,2013,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.91,16%,,,,,,,,,,
CA-2013-152156,FUR-CH-10000454,09-11-2013,12-11-2013,3,11,2013,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.58,30%,,,,,,,,,,
CA-2013-138688,OFF-LA-10000240,13-06-2013,17-06-2013,4,6,2013,Second Class,DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.87,47%,,,,,,,,,,
US-2012-108966,FUR-TA-10000577,11-10-2012,18-10-2012,7,10,2012,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,-40%,,,,,,,,,,
US-2012-108966,OFF-ST-10000760,11-10-2012,18-10-2012,7,10,2012,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52,11%,,,,,,,,,,
CA-2011-115812,FUR-FU-10001487,09-06-2011,14-06-2011,5,6,2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.17,29%,,,,,,,,,,
CA-2011-115812,OFF-AR-10002833,09-06-2011,14-06-2011,5,6,2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,4,0,1.97,27%,,,,,,,,,,
CA-2011-115812,TEC-PH-10002275,09-06-2011,14-06-2011,5,6,2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6,0.2,90.72,10%,,,,,,,,,,
CA-2011-115812,OFF-BI-10003910,09-06-2011,14-06-2011,5,6,2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,3,0.2,5.78,31%,,,,,,,,,,
CA-2011-115812,OFF-AP-10002892,09-06-2011,14-06-2011,5,6,2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,5,0,34.47,30%,,,,,,,,,,
CA-2011-115812,FUR-TA-10001539,09-06-2011,14-06-2011,5,6,2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,85.31,5%,,,,,,,,,,
CA-2011-115812,TEC-PH-10002033,09-06-2011,14-06-2011,5,6,2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4,0.2,68.36,8%,,,,,,,,,,
CA-2014-114412,OFF-PA-10002365,16-04-2014,21-04-2014,5,4,2014,Standard Class,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.55,3,0.2,5.44,35%,,,,,,,,,,
CA-2013-161389,OFF-BI-10003656,06-12-2013,11-12-2013,5,12,2013,Standard Class,IM-15070,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,0.2,132.59,33%,,,,,,,,,,
US-2012-118983,OFF-AP-10002311,22-11-2012,26-11-2012,4,11,2012,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.86,-180%,,,,,,,,,,
US-2012-118983,OFF-BI-10000756,22-11-2012,26-11-2012,4,11,2012,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3,0.8,-3.82,-150%,,,,,,,,,,
CA-2011-105893,OFF-ST-10004186,11-11-2011,18-11-2011,7,11,2011,Standard Class,PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.32,2%,,,,,,,,,,
CA-2011-167164,OFF-ST-10000107,13-05-2011,15-05-2011,2,5,2011,Second Class,AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.50,2,0,9.99,18%,,,,,,,,,,
CA-2011-143336,OFF-AR-10003056,27-08-2011,01-09-2011,5,8,2011,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56,2,0,2.48,29%,,,,,,,,,,
CA-2011-143336,TEC-PH-10001949,27-08-2011,01-09-2011,5,8,2011,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01,8%,,,,,,,,,,
CA-2011-143336,OFF-BI-10002215,27-08-2011,01-09-2011,5,8,2011,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.38,33%,,,,,,,,,,
CA-2013-137330,OFF-AR-10000246,10-12-2013,14-12-2013,4,12,2013,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.46,7,0,5.06,26%,,,,,,,,,,
